,SMILES,InChIKey
16,COc1ccccc1CNc1ccc(N2CCCCC2)cc1,RVXBQNAIAHECGJ-UHFFFAOYSA-N
17,CC(C)CNC(=O)c1cn2cc(-c3ccccc3)sc2n1,DFCSAZLDJTXFFW-UHFFFAOYSA-N
18,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1cccc2ccccc12,NFCHGHUEZLEGMI-UHFFFAOYSA-N
19,COc1ccc(-c2csc(NC(=O)c3ccncc3NS(=O)(=O)c3ccc(C)cc3)n2)cc1,BKINEUQZVMMBLY-UHFFFAOYSA-N
20,CC1=C(C(=O)Nc2ccccc2)C(c2ccc[nH]2)n2ncnc2N1,PDMCFULAKFNLJK-UHFFFAOYSA-N
21,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCN(C(=S)Nc4ccccc4)CC3)nc21,ARGUMDNARGOSPU-UHFFFAOYSA-N
22,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1cccc(Cl)c1,ZQYPKLQRARHIRS-UHFFFAOYSA-N
23,Cc1ccc(S(=O)(=O)Nc2cc(C)ccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,TUYIJCKCDWAZQQ-UHFFFAOYSA-N
24,CC(C)Oc1ccc(-c2ccc(=O)n(CC(=O)NCCc3ccccc3)n2)cc1,SYOUXPDRIZMGGT-UHFFFAOYSA-N
25,NC(=O)C1CCN(c2nc(-c3ccc(Cl)cc3)cs2)CC1,LABMFICRIXXKMN-UHFFFAOYSA-N
26,Cn1nnnc1Sc1ncnc2sccc12,SIZPCWXMMVUYKU-UHFFFAOYSA-N
27,Cc1ccc2[nH]c(-c3ccccc3)cc(=O)c2c1,SWRQHHJAXCNFGU-UHFFFAOYSA-N
28,CCN(CC)CCOc1ccc(Cc2ccccc2)cc1,NFIXBCVWIPOYCD-UHFFFAOYSA-N
29,COc1ccc(C2c3c(ncn(CCN4CCOCC4)c3=N)Oc3ccc4ccccc4c32)cc1OC,HTAQOIIMDZRODK-UHFFFAOYSA-N
30,Cc1ccc(S(=O)(=O)Nc2cc(C(=O)Nc3nc(-c4ccccc4)cs3)ccc2Cl)cc1,ZPFUYQSUWRREPC-UHFFFAOYSA-N
31,COc1cc2c(cc1OC)C(C[C@H]1CN(S(=O)(=O)c3cccc(C#N)c3)CC[C@H]1CC(=O)O)=NCC2,JOOIIHRRTWXENP-ICSRJNTNSA-N
32,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N
33,COc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,RDXHNMQEIFELHZ-UHFFFAOYSA-N
34,CCc1ccccc1C(=O)N1CCc2cc(-c3nc(NC(=O)Cc4ccc5c(c4)OCO5)sc3C)ccc21,ARVFYWDRISZVRN-UHFFFAOYSA-N
35,Cc1ccc(C(=O)NC2CCN(c3cnn(CC4CC4)c(=O)c3)CC2)cc1C,ZQYZYMCKQNRTCW-UHFFFAOYSA-N
36,CC(=O)N1CCC(NC(=O)c2nc(-c3ccccc3)cc3[nH]ccc23)CC1,RYKWNPMRHZJFMZ-UHFFFAOYSA-N
37,COc1ccccc1NC(=O)C1=C(C)Nc2c(C(=O)Nc3cccc(C)c3)cnn2C1c1ccccc1Cl,MNUNBRNTBHPPCX-UHFFFAOYSA-N
38,CSc1nnc2c3ccccc3n(CCc3ccccc3)c2n1,DTTDVOXGZPVSPR-UHFFFAOYSA-N
39,COc1cccc(CNc2ccc(C(=O)Nc3nccs3)cc2)c1O,HFDCWUFBFUUQGY-UHFFFAOYSA-N
40,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1,SVJMLYUFVDMUHP-UHFFFAOYSA-N
41,O=c1n(-c2ccc(Cl)cc2)nc2n1CCN(Cc1ccc(C(F)(F)F)cc1)C2,PWEOEXKKLYCRKL-UHFFFAOYSA-N
42,O=S(=O)(Nc1nccs1)c1ccc(NCc2ccc(Br)cc2O)cc1,VPEVNCVVSWARNR-UHFFFAOYSA-N
43,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,JYHINQXDURAWQJ-UHFFFAOYSA-N
44,Clc1ccc(C2=Nn3c(nnc3-c3ccncc3)SC2)cc1,YVEQUAAEQTUWDW-UHFFFAOYSA-N
45,CCOc1ccc(CCNC(=O)c2cc3ccccc3n2CCN2CCOCC2)cc1OCC,KYCQZFWUKRRWMS-UHFFFAOYSA-N
46,COc1ccc(-n2cnc3cc(C(=O)N4CCCCC4)ccc32)cc1,FUCWZIFGSAFUAO-UHFFFAOYSA-N
47,O=C(Nc1nc2ccc(NC(=O)C3C4CC5CC(C4)CC3C5)cc2s1)c1ccccc1,UDTWNDBVRLDPNE-UHFFFAOYSA-N
48,Cc1cccc(C)c1Nc1c(-c2cccs2)nc2ncccn12,XENKUEKKZYIAHP-UHFFFAOYSA-N
49,CN1C(=O)CN=C(c2ccccc2Cl)c2cc(Cl)ccc21,VPAYQWRBBOGGPY-UHFFFAOYSA-N
50,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2[nH]ncc2c1,LKBHAGGICJWHQQ-UHFFFAOYSA-N
51,COc1cccc(C(=O)Nc2nc(-c3nnn(-c4cccc(Cl)c4C)c3C)ns2)c1,QFDQQONBIYBYOA-UHFFFAOYSA-N
52,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1,AGWAEWJPKFNDHK-UHFFFAOYSA-N
53,NC(=O)C1CCN(c2ncc(-c3cccc(N4CCCC4)c3)s2)CC1,BQNCJGIWXCJMIC-UHFFFAOYSA-N
54,COc1ccc(-c2nc3ccc(C4=NNC(=O)CC4C)cc3[nH]2)cc1,GLBJJMFZWDBELO-UHFFFAOYSA-N
55,CCN1CCC(N(Cc2ccc3c(c2)OCO3)C(=O)Nc2cc(Cl)ccc2C(=O)OC)CC1,DFRYLCMWNYBPSU-UHFFFAOYSA-N
56,Cc1ccc(-c2cc(C(=O)Nc3ccc(S(=O)(=O)N(C)Cc4nccs4)cc3)c3ccccc3n2)cc1C,PWEAXFDWYFUWGU-UHFFFAOYSA-N
57,Nc1c(C(=O)N2CCCCC2)sc(=S)n1-c1ccccc1,FFZVWPDQPLTXDJ-UHFFFAOYSA-N
58,CC1=C(C(=O)Nc2nnc(-c3ccccc3)s2)C(c2nn(C)cc2Cl)N=C(Nc2nc3ccccc3o2)N1,HKZXAIUTSKUSIE-UHFFFAOYSA-N
59,CN(C)c1cccc(-c2nnc(N3CCC(C(N)=O)CC3)s2)c1,SAECCWGUNHTKAI-UHFFFAOYSA-N
60,O=C(Nc1nnc(-c2cccs2)o1)c1ccc(Cl)cc1,BQTPYGFVIPEAIV-UHFFFAOYSA-N
61,COc1cc(Cl)c(C)cc1NS(=O)(=O)c1c(C)nc2sccn2c1=O,IJHGSBPTTMCYAQ-UHFFFAOYSA-N
62,Cc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,GTEOWQGTWKPHSV-UHFFFAOYSA-N
63,CCOC(=O)c1ccc(-n2cnc3cc(C(=O)N4CCCCC4)ccc32)cc1,ZNENQHZYFKGUMB-UHFFFAOYSA-N
64,O=[N+]([O-])c1ccc(CNc2ccc([S+](=O)([O-])Nc3nccs3)cc2)c(O)c1,ZIUBPJYPGKKGTR-UHFFFAOYSA-N
65,COc1ccccc1CN1CCNc2cc(Nc3ccccc3)ncc2C1,VKYIYKRCKXFNRW-UHFFFAOYSA-N
66,CCOc1ccc(Nc2nc(C)c(NC(=O)c3ccc(C)cc3)c(Nc3ccc(OCC)cc3)n2)cc1,FMUBJPCZHLHGTG-UHFFFAOYSA-N
67,c1ccc2c(NC3CCCCC3)nc(-c3ccncc3)nc2c1,ILIGQOSIMGEJNB-UHFFFAOYSA-N
68,COc1cc(-c2nc(Nc3ccc(F)c(F)c3)c3ccccc3n2)ccn1,VCCAETGONJLPKQ-UHFFFAOYSA-N
69,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1NS(=O)(=O)c1ccc(-c2ccccc2)cc1,OPAHQTWJPPBGRE-UHFFFAOYSA-N
70,Cc1ccc(C(=O)[C@H]2CC[C@@H](C(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)C2)cc1C,NSKCDDKIJVEIDK-RBUKOAKNSA-N
71,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,OGHNVEJMJSYVRP-UHFFFAOYSA-N
72,COc1ccc(CN(C2CCCCC2C)S(=O)(=O)c2ccc(S(=O)(=O)N(C)C)cc2)cc1OC,BIKCOAYAINIYAN-UHFFFAOYSA-N
73,CC1CCN(S(=O)(=O)c2ccc3c(ccc(=O)n3CC(=O)NCc3ccc(Cl)cc3)c2)CC1,LWYGTJRTASCSFA-UHFFFAOYSA-N
74,O=C(NC1CC1)c1nc(-c2cccnc2)c2cnccn12,SNFJQENFGBSXKH-UHFFFAOYSA-N
75,Cc1ccc(S(=O)(=O)Nc2ccccc2N2CCCCC2)cc1,LYEJMTRCXPORAD-UHFFFAOYSA-N
76,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,XFCLJVABOIYOMF-QPLCGJKRSA-N
77,N#Cc1cnccc1-c1nc(Nc2ccc(F)c(F)c2)c2ccccc2n1,NWXRRYWXZOVVRL-UHFFFAOYSA-N
78,CCc1ccc(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)cc1[S+](=O)([O-])Nc1ccc(C#N)cc1,ANKIFYBWMDNUFF-UHFFFAOYSA-N
79,Cc1ccc(NS(=O)(=O)c2ccc3c(c2)NC(=O)CO3)cc1C,FLRPVXLMOJGRDV-UHFFFAOYSA-N
80,Cc1ccccc1C(=O)N1CCc2cc(-c3nc(NC(=O)Cc4ccccc4)sc3C)ccc21,UPHZNHDQUZCWER-UHFFFAOYSA-N
81,CCOc1ccc(CCNC(=O)c2ccc3ccccc3n2)cc1OCC,PDYICGHBYCZARH-UHFFFAOYSA-N
82,COc1ccc(CN2CCc3c(c(=O)n4ncc(C(=O)N5CCN(c6ccccc6OC)CC5)c4n3C)C2)cc1,FQQYLHNLWWDMPC-UHFFFAOYSA-N
83,CCOC(=O)c1[nH]c(C)c(CCC(=O)N2CCN(c3cc(Cl)ccc3C)CC2)c1C,XMZWHAOTROOYRQ-UHFFFAOYSA-N
84,CCOc1ccc(CN2C(=O)c3ccccc3Sc3ccc(C(=O)NC4CCC(C)CC4)cc32)cc1,NVTVBVHKAIAJEL-UHFFFAOYSA-N
85,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,DKNUPRMJNUQNHR-UHFFFAOYSA-N
86,COC(=O)CNC(=O)c1nc(-c2ccc(Cl)cc2Cl)c2cnccn12,HGBFXYITAOUWOU-UHFFFAOYSA-N
87,CN(C)CCNC(=O)c1nc(-c2ccccc2)cc2[nH]ccc12,OHKPOOQMNMTQOB-UHFFFAOYSA-N
88,O=C(Nc1ccc(N2CCN(C(=O)c3ccccc3F)CC2)cc1)c1cncc(Br)c1,FGDNPQGECCKYLW-UHFFFAOYSA-N
89,CN(C)CCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,HICFFJZGXWEIHN-UHFFFAOYSA-N
90,Clc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1Cl,KPCUVDDRLJHNKP-UHFFFAOYSA-N
91,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12,XOQUOBZQPFFOSV-UHFFFAOYSA-N
92,COc1ccc(-n2nc(C3CCN(C(=O)c4ccccc4)CC3)[nH]c2=O)cc1,LMQKYHJHYUACHL-UHFFFAOYSA-N
93,CC(=O)N1CCc2c(sc3c2c(=O)n(-c2ccccc2)c(=O)n3Cc2cccc(C(F)(F)F)c2)C1,YFTFUJVVMUTTTM-UHFFFAOYSA-N
94,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc([N+](=O)[O-])cc1,HAAMSIZPGWYWMM-UHFFFAOYSA-N
95,COc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,RELYTYMFLMSHQI-UHFFFAOYSA-N
96,CC(=O)Nc1ncc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(-c3ccccc3)cs2)s1,OPUOEPLVISTJNJ-UHFFFAOYSA-N
97,COC(=O)[C@H](Cc1ccc(O[S+](=O)([O-])c2cccc3cnccc23)cc1)N[S+](=O)([O-])c1ccc2cnccc2c1,RSHLKSTVFWVGBU-SANMLTNESA-N
98,Cc1cc(C)nc(NC(=S)N2CCN(c3nccc(C(F)(F)F)n3)CC2)c1,TVJGXHWAAUWSEW-UHFFFAOYSA-N
99,C=Cc1ccc(Cn2c(C(=O)O)c(CNCc3ccccc3)c3ccc(OC)cc32)cc1,YFSUZNLARLUKKP-UHFFFAOYSA-N
100,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1,NETXMUIMUZJUTB-UHFFFAOYSA-N
101,COc1ccccc1Nc1ccnc(N2CCN(C(=O)c3ccc(C)cc3)CC2)n1,BJXRJZAZGRGSLG-UHFFFAOYSA-N
102,CCC(=O)NC(c1ccco1)c1cc(Cl)c2cccnc2c1O,UPLAQKIMKDWICQ-UHFFFAOYSA-N
103,FC(F)(F)c1cccc(N2CCN(C(=S)Nc3ccccn3)CC2)c1,BDXVOZXBHGEZSC-UHFFFAOYSA-N
104,NC(=O)C1CCN(c2nc(-c3ccccc3)cs2)CC1,RJXZKISQBUFFDL-UHFFFAOYSA-N
105,COc1ccc(/C=C2/C(=O)Nc3ccccc32)cc1O,BQINENDEUIXMAZ-XYOKQWHBSA-N
106,COc1ccc(NC(=O)c2c(C)cccc2C)cc1[S+](=O)([O-])N(C)C,ZSDADIUEGBFRSE-UHFFFAOYSA-N
107,c1ccc(CNc2cc3c(cn2)CN(Cc2cccnc2)CCN3)cc1,NSJMDDJWOHFIPX-UHFFFAOYSA-N
108,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,NDAZATDQFDPQBD-UHFFFAOYSA-N
109,CC(=O)N1CCc2c(sc3c2c(=O)n(-c2ccccc2Cl)c(=O)n3Cc2cccc(C)c2)C1,HSMKHRRWGWNSGN-UHFFFAOYSA-N
110,CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc([S+](=O)([O-])Nc3cccnc3)c2)c1C,URNWMAJJDMHFMY-UHFFFAOYSA-N
111,O=C(Nc1ccccc1)C1CCN(c2ncc(-c3ccc4c(c3)OCCCO4)s2)CC1,JLTGWNGXPNHIFU-UHFFFAOYSA-N
112,Cc1ccc(C(=O)Nc2nc3nc(-c4ccccc4)cc(=O)n3[nH]2)cc1,HMYDBUSJIVTQGO-UHFFFAOYSA-N
113,COc1cccc(CNc2ccc(S(=O)(=O)Nc3cc(C)on3)cc2)c1O,MAHHNZSNKYONTR-UHFFFAOYSA-N
114,O=C(Nc1cccc(Cc2ccccc2)c1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,ODEBMYHNSVJCHR-UHFFFAOYSA-N
115,O=C(c1cnn(-c2cccc(F)c2)c1-n1cccc1)N1CCN(c2ccccc2F)CC1,GXOSMVDGSFKHTK-UHFFFAOYSA-N
116,CNC(=O)c1cccc(-c2cnc(Nc3cccc(C(F)(F)F)c3)c3c2CCO3)c1,MINZFYQXLFUKJR-UHFFFAOYSA-N
117,Cc1ccc(S(=O)(=O)Nc2cnccc2C(=O)Nc2nc(C3CCC3)cs2)cc1,CSKNEEDIYFPRFG-UHFFFAOYSA-N
118,Fc1ccc(Nc2nc(-c3ccnc4ccccc34)nc3ccccc23)cc1F,BIULKRLGGXEEIO-UHFFFAOYSA-N
119,Fc1cc(F)cc(Nc2nc(-c3ccncc3)nc3ccccc23)c1,GFTVOPOIDIPADM-UHFFFAOYSA-N
120,CCOc1ccc(OCC)c(NC(=O)C(NS(=O)(=O)c2ccc(Br)s2)c2ccccc2)c1,AZXQALFSWSNZLN-UHFFFAOYSA-N
121,COc1cc(Nc2nc(-c3ccncc3)nc3ccccc23)ccc1N1CCN(C)CC1,FOZLMGCSCOYQHP-UHFFFAOYSA-N
122,Cc1ccc(S(=O)(=O)Nc2ccccc2Nc2nc(-c3ccccc3)cs2)cc1,KTXJOYJUQJHWDU-UHFFFAOYSA-N
123,COc1ccc(-c2cc(-c3cccc(NC(C)=O)c3)cn3cncc23)cn1,ZEPFGXKZWPKGJP-UHFFFAOYSA-N
124,COc1cc(C(=O)NC2CCCc3c2[nH]c2ccccc32)cc(OC)c1OC,NHZQNJOZKHPRKI-UHFFFAOYSA-N
125,COc1cc(CNCCO)cc(Cl)c1OCc1ccc(Cl)cc1Cl,GZFBOMZAQBAFPC-UHFFFAOYSA-N
126,Cc1cc(N2CCN(c3ccccc3)CC2)nc(-n2nc(C)cc2C)n1,FBQWJGAANBICJK-UHFFFAOYSA-N
127,Cc1ccc2nc(-c3ccccn3)c(Nc3ccccc3C)n2c1,RUKTTYRDMIRNMF-UHFFFAOYSA-N
128,Cc1[nH]c2ccccc2c1CN1CCN(c2ccccn2)CC1,ZAXKSLQZANTESC-UHFFFAOYSA-N
129,N#C/C(=C\c1ccc(-c2ccc(C(=O)O)cc2)o1)c1nc2ccccc2[nH]1,AHBIRSCEARQARK-RVDMUPIBSA-N
130,COc1cc(NS(=O)(=O)c2ccc(C)cc2)cc(C(=O)Nc2nc(-c3ccccc3)cs2)c1,XSTQMHAERXDEHZ-UHFFFAOYSA-N
131,COc1ccc(-c2ccc3ncc(Nc4ccc(C(N)=O)cc4)n3n2)cc1OC,PPAKBXRFSYOERM-UHFFFAOYSA-N
132,Cc1cc(-c2nnc3n2CCCCC3)c(C)n1-c1ccc(C#N)cc1,SWNHLEMLTLITMQ-UHFFFAOYSA-N
133,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,JZCWLJDSIRUGIN-UHFFFAOYSA-N
134,COc1ccc(-n2c(C)cc(-c3nnc4n3CCCCC4)c2C)cc1,BMVCYZASRBQFAY-UHFFFAOYSA-N
135,Cc1cccc(C)c1NC(=O)c1nc(SC(C)C)ncc1Cl,KUKNTWNRWLTOFW-UHFFFAOYSA-N
136,CCCn1cnc2cc(NCc3ccc(OC)cc3OC)ccc21,FGSAIFMDWKPIBH-UHFFFAOYSA-N
137,CC(=O)Nc1cccc(-c2csc(Nc3cc(C)ccn3)n2)c1,HGRHXNRVXGLWLA-UHFFFAOYSA-N
138,C1CCc2nc3c(nc2C1)CCCC3,JYYRTWNCBVRKMN-UHFFFAOYSA-N
139,Cc1nc(-c2ccco2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)NC2CCCCC2)n1,OZIYHSYPRLZCRL-SXLOBPIMSA-N
140,COCC(C)NCc1cc2ccc(OC)cc2nc1N1CCN(c2ccc(F)cc2)CC1,ACIFSDKVAYNCNV-UHFFFAOYSA-N
141,CCCCOC(=O)c1ccnc2cc(C(OCCN3CCCCC3)c3ccccc3Cl)sc12,KCBPXRXTIGQYGB-UHFFFAOYSA-N
142,Cc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1,DPRZKNDPFKQQOC-UHFFFAOYSA-N
143,CNC1CCC(N(Cc2ccc(OC)c(-c3ccc(C#N)cc3)c2)C(=O)c2sc3ccccc3c2Cl)CC1,TUEJIDNHDMASIC-UHFFFAOYSA-N
144,CCOc1ccc(-c2nc(SCC(=O)Nc3ccc(C)c(C)c3)n3[nH]c(=O)cc3n2)cc1,DWZXUQHXRSARDI-UHFFFAOYSA-N
145,CCCN1CNc2c(c(=O)[nH]c(=S)n2CCc2ccc(OC)c(OC)c2)C1,DNWDRRNPHSEMMW-UHFFFAOYSA-N
146,Cc1cc(C)cc(NS(=O)(=O)c2ccc3[nH]cc(C(=O)NCc4ccco4)c(=O)c3c2)c1,ISALGMVRJMVITH-UHFFFAOYSA-N
147,COc1cc(NC(=O)c2cc(-c3ccccc3O)no2)cc(OC)c1OC,YRNMYIIVQSCJQD-UHFFFAOYSA-N
148,COc1ccc(C)cc1-n1nnnc1Sc1ncnc2scc(-c3ccc(Br)cc3)c12,GPMINBJFULXBNP-UHFFFAOYSA-N
149,NC1CCN(C(=O)C2CCCN(c3nc(-c4ccccc4)nc4c3CCC4)C2)CC1,FECFLGLBRXVBBC-UHFFFAOYSA-N
150,COc1ccc(Cn2c(C(=O)O)c(CNCc3ccco3)c3ccc(C)cc32)cc1,NMDDJJOEMTXRKJ-UHFFFAOYSA-N
151,Fc1ccc(Nc2nc(-c3ccncc3F)nc3ccccc23)cc1F,MESNSNRRDBCLON-UHFFFAOYSA-N
152,Fc1ccccc1CNCc1ccc(-c2ccnc3[nH]ccc23)cc1,XUIUXXQVHPEQNM-UHFFFAOYSA-N
153,COc1cc(C(=O)N2CCN(c3cc(Cl)ccc3Cl)CC2)cc(OC)c1OC,ILTWUUDBGOJLLX-UHFFFAOYSA-N
154,O=C1CCCC2=C1C(c1ccccc1Cl)N=C(Nc1nc3ccccc3o1)N2,XSAYTXZACWKODG-UHFFFAOYSA-N
155,Oc1ccccc1CN1CCNc2cc(Nc3ccccc3)ncc2C1,WVBBZRKMUCFKOD-UHFFFAOYSA-N
156,O=c1c2c([nH]c3ccc(Br)cc13)CCCC2,CYNGWEJDWSSTDH-UHFFFAOYSA-N
157,Cc1nn2c(c1-c1ccccc1-c1ccccc1)N(Cc1ccc(C(=O)O)s1)CCC2,CFTGHSWLDXQOHS-UHFFFAOYSA-N
158,CCOc1ccc(-c2cn3c(n2)sc2cc(C(=O)NCCCN(CC)CC)ccc23)cc1,XWXGWAFKWKXKQM-UHFFFAOYSA-N
159,Fc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1F,LBPYNNJXARHGAG-UHFFFAOYSA-N
160,Cc1cc(C)cc(C(=O)Nc2ccc3c(N4CCCC4)ncnc3c2)c1,NLTGJJYOYOFEBV-UHFFFAOYSA-N
161,CS(=O)(=O)Nc1cccc(-c2nccc(-n3ccnc3)n2)c1,UGJVRSZJQAHWPK-UHFFFAOYSA-N
162,Nc1nc2c(s1)C(c1cccc(F)c1F)CC(=O)N2,FFYKSYPAGAQOFV-UHFFFAOYSA-N
163,CCCOC(=O)c1ccc(Oc2c(-c3ccc(O)cc3O)n[nH]c2C)cc1,UZXZPENETHYBIN-UHFFFAOYSA-N
164,CCCc1oc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2c1C(=O)OCC,SOCRSDFUFQUFAI-UHFFFAOYSA-N
165,CN(C)c1cccc(-c2ccnc(N3CCC(C(N)=O)CC3)n2)c1,GJYPMTHSXAOZHG-UHFFFAOYSA-N
166,CNC(=O)C1CCN(C(=O)c2ccc(-c3ncc4cnc(-c5ccccc5)cn34)cc2)CC1,QHNHPFMSCVOBHW-UHFFFAOYSA-N
167,,
168,CCOc1ccc(CCNC(=O)c2cc3sccc3n2Cc2ccc(F)cc2F)cc1OCC,QNMKOBTZYCVTEF-UHFFFAOYSA-N
169,CC(C)c1cc(C(=O)N2CC[C@@H](NC(=O)C3CC3)C2)n[nH]1,CXEXTVGTDZRKJS-LLVKDONJSA-N
170,CCCN(CCC)CCc1cccc2c1CC(=O)N2,UHSKFQJFRQCDBE-UHFFFAOYSA-N
171,Cc1ccccc1S(=O)(=O)N1CCCC(CCC(=O)NCCN(C)C2CCCCC2)C1,IVTZRBISUPPGSN-UHFFFAOYSA-N
172,COC(=O)c1ccnc(-c2cc(C(=O)NCCc3ccccc3)ccn2)c1,LTHOPIBLRVRXLD-UHFFFAOYSA-N
173,Cc1cccc(-n2cnc3cc(C(=O)N4CCCC(C)C4)ccc32)c1,IHSZTNPFHUBNGG-UHFFFAOYSA-N
174,NC(=O)C1CCN(c2nc(-c3cccc(F)c3)cs2)CC1,MSTHFJSQYSEKCP-UHFFFAOYSA-N
175,O=C(NC1CC1)c1nc(-c2cccnc2)c2ccccn12,ILVXOSZVYKPRKR-UHFFFAOYSA-N
176,CCc1c(C)nc2c(-c3cnn(-c4cc(CO)ccn4)c3)c[nH]n2c1=O,FHVNWSLMAQQCSI-UHFFFAOYSA-N
177,Cc1ccc2c(c1)N(S(=O)(=O)c1cc(-c3onc(C)c3C)ccc1C)CCO2,FDVNUPRWZNGNBO-UHFFFAOYSA-N
178,CCOc1ccc(NC(=O)CSC2=Nc3ccccc3C3=NC(CC(=O)NCc4cccs4)C(=O)N23)cc1,VWTYTUHDVPGBTA-UHFFFAOYSA-N
179,CCCCn1cnc2cc(NC(=O)c3cc(OC)c(OC)c(OC)c3)ccc21,XOLXCSSMJAOYOU-UHFFFAOYSA-N
180,O=C(Nc1cncc(Cc2ccccc2)c1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,UHMNNAQYABELEO-UHFFFAOYSA-N
